Printout for SDDS file lpaxfel_largedE.sdds

       p              t              x              y              xp             yp      
    m$be$nc           s              m              m                                     
------------------------------------------------------------------------------------------
  4.693391e+02  -2.157245e-13   8.440520e-04   7.667063e-05   0.000000e+00   5.201742e-03 
  4.858009e+02  -1.083321e-12   1.146753e-03  -2.019253e-05   0.000000e+00  -1.794346e-02 
  4.712722e+02  -1.019957e-13   8.855599e-04  -3.755444e-05   0.000000e+00   1.181091e-02 
  4.561653e+02   1.116343e-12   4.641322e-04  -3.968507e-05   0.000000e+00   1.159012e-02 
  4.829326e+02  -7.182671e-13   1.100651e-03  -6.590723e-05   0.000000e+00   3.851366e-02 
  4.635051e+02  -7.711081e-13   7.028662e-04  -3.362613e-05   0.000000e+00   4.072760e-02 
  4.798295e+02   3.167912e-13   1.048187e-03   7.958336e-05   0.000000e+00   2.009591e-02 
  4.577290e+02   8.328079e-13   5.245357e-04  -2.241667e-05   0.000000e+00   8.412803e-03 
  4.770905e+02  -4.119081e-13   9.993091e-04   8.999317e-05   0.000000e+00  -9.052168e-03 
  4.529517e+02   1.057362e-12   3.033856e-04   8.397102e-06   0.000000e+00   4.043634e-02 
  4.691068e+02  -2.731542e-13   8.389149e-04   4.367897e-05   0.000000e+00   3.014991e-03 
  4.734204e+02  -8.791451e-13   9.293377e-04  -2.266787e-05   0.000000e+00   4.044183e-02 
  4.837198e+02  -2.717393e-13   1.113520e-03  -2.650828e-05   0.000000e+00  -3.223428e-02 
  4.847065e+02   6.540135e-13   1.129414e-03  -7.246966e-05   0.000000e+00  -6.944858e-03 
  4.813909e+02  -8.062027e-13   1.074946e-03   5.038748e-05   0.000000e+00   4.182148e-02 
  4.603380e+02  -2.802257e-13   6.118311e-04   7.249273e-05   0.000000e+00  -2.615857e-02 
  4.828442e+02  -9.576900e-13   1.099196e-03   3.028876e-05   0.000000e+00  -4.779123e-02 
  4.606031e+02   8.714401e-13   6.199885e-04   9.841675e-06   0.000000e+00   4.001920e-04 
  4.637059e+02  -3.546698e-13   7.082252e-04  -6.905915e-05   0.000000e+00  -2.875103e-02 
  4.542328e+02   8.796206e-13   3.759394e-04  -7.763484e-05   0.000000e+00  -2.276173e-02 
  4.741934e+02   7.261471e-13   9.445501e-04  -3.473141e-05   0.000000e+00   1.398453e-02 
  4.753177e+02   1.047464e-12   9.662082e-04  -6.652514e-05   0.000000e+00  -4.102292e-03 
  4.649896e+02   6.166829e-14   7.415171e-04   8.200353e-05   0.000000e+00  -4.542612e-02 
  4.866623e+02   8.633135e-13   1.160191e-03   6.297227e-06   0.000000e+00  -3.506738e-02 
  4.830121e+02  -5.775421e-13   1.101958e-03   7.033064e-05   0.000000e+00  -2.530119e-02 
  4.745222e+02  -1.538937e-13   9.509396e-04  -2.310176e-05   0.000000e+00  -8.041137e-04 
  4.595366e+02  -2.120690e-13   5.864532e-04   8.376182e-05   0.000000e+00   8.527076e-03 
  4.728046e+02  -5.725713e-13   9.170214e-04  -6.630562e-05   0.000000e+00  -4.347426e-02 
  4.773328e+02  -1.011007e-12   1.003741e-03  -2.397461e-05   0.000000e+00   5.094752e-02 
  4.740450e+02  -5.588117e-13   9.416498e-04  -9.115264e-05   0.000000e+00   2.159331e-02 
  4.659533e+02  -1.130165e-12   7.655038e-04   7.927013e-05   0.000000e+00   1.184100e-02 
  4.647853e+02   9.202420e-14   7.363248e-04  -7.133743e-05   0.000000e+00  -2.081653e-02 
  4.599272e+02  -7.277190e-14   5.989613e-04   6.183747e-05   0.000000e+00   1.040981e-03 
  4.565202e+02   9.196163e-14   4.785265e-04  -7.201985e-06   0.000000e+00   3.244448e-02 
  4.722809e+02   3.853095e-13   9.064034e-04   4.496765e-05   0.000000e+00  -4.626659e-02 
  4.777703e+02   7.059620e-13   1.011686e-03   2.366446e-06   0.000000e+00  -1.368859e-04 
  4.635584e+02   1.050094e-13   7.042938e-04   2.031035e-05   0.000000e+00   2.477267e-02 
  4.827357e+02   5.484247e-15   1.097405e-03  -1.795238e-05   0.000000e+00   1.848590e-02 
  4.671692e+02  -3.277293e-13   7.946692e-04  -1.771764e-05   0.000000e+00   4.702539e-02 
  4.526824e+02  -6.176258e-13   2.857683e-04  -3.013766e-05   0.000000e+00  -9.803146e-04 
  4.610098e+02   6.542524e-13   6.322925e-04   1.256731e-05   0.000000e+00  -2.230048e-02 
  4.730479e+02   7.645454e-13   9.219095e-04  -1.064137e-05   0.000000e+00  -2.380299e-02 
  4.780380e+02  -1.002412e-12   1.016513e-03  -7.730735e-05   0.000000e+00  -4.530319e-02 
  4.707998e+02  -1.021882e-12   8.756128e-04   5.081074e-05   0.000000e+00   1.032114e-02 
  4.610389e+02   4.628909e-13   6.331627e-04  -7.101402e-05   0.000000e+00  -2.332443e-02 
  4.815205e+02  -2.601689e-13   1.077133e-03   8.136172e-05   0.000000e+00  -2.889105e-02 
  4.615076e+02  -2.011886e-13   6.470161e-04   8.282850e-05   0.000000e+00  -4.378592e-02 
  4.639917e+02  -5.283451e-13   7.157782e-04   4.680762e-05   0.000000e+00   4.806056e-02 
  4.647538e+02  -2.272762e-13   7.355201e-04   8.138760e-05   0.000000e+00   4.545494e-03 
  4.744238e+02   2.348624e-13   9.490328e-04  -3.794940e-05   0.000000e+00  -9.643659e-03 
  4.743116e+02  -7.869891e-13   9.468533e-04   4.016734e-05   0.000000e+00  -2.068783e-02 
  4.526718e+02  -1.043422e-12   2.850508e-04  -6.441139e-05   0.000000e+00  -3.242281e-02 
  4.844472e+02   5.996028e-13   1.125262e-03  -7.178811e-05   0.000000e+00  -3.723540e-02 
  4.831212e+02  -2.440149e-13   1.103750e-03  -1.959479e-05   0.000000e+00  -1.269373e-02 
  4.774518e+02  -3.334616e-13   1.005908e-03   2.428993e-05   0.000000e+00  -3.906967e-04 
  4.743255e+02  -9.754452e-13   9.471230e-04   2.629215e-05   0.000000e+00   2.825607e-02 
  4.629333e+02  -7.563427e-14   6.873670e-04   4.123071e-05   0.000000e+00   4.636156e-04 
  4.813668e+02   6.489227e-13   1.074539e-03   2.595564e-05   0.000000e+00  -2.529764e-02 
  4.678504e+02   6.257688e-15   8.105216e-04  -7.243125e-05   0.000000e+00  -3.084577e-04 
  4.844039e+02  -7.676457e-13   1.124567e-03  -8.836768e-06   0.000000e+00  -7.586990e-04 
  4.543464e+02   4.899221e-13   3.816955e-04  -7.179271e-05   0.000000e+00  -2.290646e-02 
  4.843164e+02  -5.554901e-13   1.123160e-03  -2.478021e-05   0.000000e+00  -2.608460e-02 
  4.747621e+02   7.665575e-13   9.555725e-04  -2.655391e-05   0.000000e+00   4.634407e-02 
  4.843603e+02  -1.771644e-13   1.123866e-03   1.256550e-05   0.000000e+00   1.265209e-02 
  4.729129e+02   4.036062e-13   9.192005e-04  -1.885549e-05   0.000000e+00   4.568126e-02 
  4.699174e+02   1.984796e-13   8.566984e-04   1.124747e-05   0.000000e+00  -3.107941e-02 
  4.794782e+02   5.941251e-13   1.042062e-03   5.892448e-05   0.000000e+00   2.679300e-02 
  4.538567e+02   9.844244e-13   3.561927e-04  -7.003026e-05   0.000000e+00  -9.936583e-03 
  4.805466e+02  -2.682871e-13   1.060571e-03  -3.491614e-05   0.000000e+00   3.485231e-02 
  4.833257e+02   7.229100e-13   1.107098e-03  -1.590091e-05   0.000000e+00   2.532688e-02 
  4.776017e+02   6.328780e-13   1.008632e-03   7.603711e-05   0.000000e+00  -4.798827e-02 
  4.837528e+02  -6.609515e-13   1.114054e-03  -2.943733e-05   0.000000e+00  -2.260550e-02 
  4.730223e+02  -7.972724e-13   9.213957e-04  -3.749657e-05   0.000000e+00   3.634177e-02 
  4.676822e+02  -8.306495e-13   8.066381e-04   7.000545e-06   0.000000e+00   3.957802e-02 
  4.513819e+02  -9.628919e-13   1.773684e-04  -6.793272e-05   0.000000e+00  -1.151546e-02 
  4.651027e+02  -4.360271e-13   7.443735e-04   6.470655e-05   0.000000e+00  -4.741723e-02 
  4.763975e+02   6.816899e-13   9.865157e-04  -6.609777e-05   0.000000e+00  -4.588303e-02 
  4.532936e+02  -2.349304e-13   3.243594e-04   2.649956e-05   0.000000e+00  -3.922912e-02 
  4.783868e+02   3.907752e-13   1.022767e-03   6.633301e-06   0.000000e+00   3.473225e-02 
  4.752175e+02  -4.098639e-13   9.642992e-04  -5.850060e-05   0.000000e+00  -3.323875e-03 
  4.777000e+02  -4.186144e-13   1.010414e-03   5.001871e-05   0.000000e+00   1.933586e-02 
  4.793113e+02   5.623740e-13   1.039137e-03   8.557146e-05   0.000000e+00   1.080765e-02 
  4.773319e+02  -9.475086e-13   1.003724e-03  -2.603270e-05   0.000000e+00  -1.757790e-02 
  4.685295e+02   2.986781e-13   8.259988e-04   4.317949e-05   0.000000e+00  -4.390874e-02 
  4.633518e+02  -9.849905e-13   6.987477e-04  -1.535263e-05   0.000000e+00   5.136055e-03 
  4.753300e+02   2.008635e-13   9.664420e-04   5.828510e-05   0.000000e+00   2.665685e-02 
  4.511128e+02  -2.621738e-13   1.450996e-04   8.430804e-05   0.000000e+00   1.894106e-02 
  4.782298e+02   5.046345e-14   1.019957e-03   6.503162e-05   0.000000e+00  -3.271423e-02 
  4.657837e+02  -2.507097e-14   7.613409e-04   8.564995e-05   0.000000e+00   1.386846e-02 
  4.715482e+02  -3.365498e-13   8.913161e-04   5.104524e-05   0.000000e+00   3.217239e-02 
  4.815511e+02   1.023917e-12   1.077648e-03  -8.373865e-05   0.000000e+00   2.265219e-02 
  4.507070e+02   2.655778e-13   7.314378e-05   1.172729e-06   0.000000e+00  -3.978488e-02 
  4.513298e+02   5.076430e-13   1.715964e-04   8.588293e-05   0.000000e+00   1.685849e-02 
  4.561751e+02   2.864097e-13   4.645356e-04   6.857921e-05   0.000000e+00   4.160412e-02 
  4.770481e+02  -5.178586e-13   9.985314e-04   5.209415e-05   0.000000e+00   2.921576e-02 
  4.554764e+02  -1.007014e-12   4.347909e-04  -7.216142e-06   0.000000e+00   4.039996e-02 
  4.787271e+02   3.815516e-13   1.028826e-03   7.530634e-05   0.000000e+00   1.235583e-02 
  4.576469e+02  -5.311068e-14   5.215447e-04   4.798747e-05   0.000000e+00  -4.615688e-02 
  4.525487e+02   7.273106e-13   2.766067e-04   4.028855e-05   0.000000e+00  -5.137463e-03 
  4.848173e+02   1.364332e-14   1.131183e-03   8.907527e-05   0.000000e+00  -2.291578e-02 
  4.683020e+02   9.799719e-13   8.208491e-04  -8.698143e-05   0.000000e+00  -2.119704e-02 
  4.640956e+02  -6.483352e-13   7.185046e-04  -7.411149e-05   0.000000e+00   4.753270e-02 
  4.858777e+02   7.238129e-14   1.147958e-03  -8.243445e-05   0.000000e+00  -2.270664e-02 
  4.732242e+02   4.644700e-13   9.254339e-04   6.485146e-05   0.000000e+00  -1.047598e-02 
  4.583157e+02  -4.844276e-13   5.454312e-04  -3.591672e-06   0.000000e+00  -4.685931e-02 
  4.519040e+02  -1.099536e-13   2.272291e-04   8.371051e-05   0.000000e+00   6.236357e-03 
  4.602216e+02  -1.079071e-12   6.082129e-04  -2.626186e-05   0.000000e+00   4.715427e-02 
  4.733645e+02   5.659863e-13   9.282283e-04   7.863669e-05   0.000000e+00   8.003973e-03 
  4.864539e+02  -1.095051e-13   1.156957e-03   1.835831e-06   0.000000e+00  -4.896214e-02 
  4.509144e+02   9.250645e-13   1.156598e-04   3.861556e-05   0.000000e+00  -3.765909e-02 
  4.513609e+02   3.991137e-13   1.750652e-04  -9.139019e-05   0.000000e+00   4.136041e-02 
  4.710281e+02  -7.985699e-13   8.804353e-04  -6.943424e-05   0.000000e+00  -1.469023e-02 
  4.699967e+02   2.191021e-14   8.584176e-04  -9.126898e-05   0.000000e+00  -3.802876e-02 
  4.763999e+02  -5.987009e-13   9.865597e-04   4.512171e-05   0.000000e+00  -3.129488e-02 
  4.864976e+02   4.807343e-14   1.157635e-03  -8.155385e-05   0.000000e+00   4.398721e-02 
  4.517105e+02  -1.156447e-13   2.101387e-04   5.627145e-05   0.000000e+00  -2.211579e-02 
  4.528149e+02   3.630527e-13   2.945666e-04  -5.043901e-05   0.000000e+00   2.929433e-03 
  4.792327e+02  -1.010826e-12   1.037755e-03  -8.221139e-05   0.000000e+00   2.946287e-02 
  4.691674e+02  -1.116500e-12   8.402579e-04   5.695167e-05   0.000000e+00   7.908547e-03 
  4.819408e+02  -4.545551e-13   1.084193e-03  -3.705695e-05   0.000000e+00   4.718553e-02 
  4.821634e+02   5.661799e-13   1.087911e-03   8.567191e-05   0.000000e+00  -2.728719e-02 
  4.565787e+02  -1.342829e-13   4.808590e-04  -7.045461e-05   0.000000e+00  -1.534793e-02 
  4.568079e+02   9.366729e-13   4.898825e-04  -4.018316e-05   0.000000e+00  -4.301351e-02 
  4.751531e+02   7.150213e-13   9.630702e-04  -3.413010e-06   0.000000e+00  -3.515778e-02 
  4.758839e+02   4.930210e-13   9.769154e-04  -2.355929e-05   0.000000e+00   1.982463e-02 
  4.596044e+02  -5.352439e-13   5.886425e-04  -3.224254e-05   0.000000e+00   3.630952e-02 
  4.703822e+02  -1.130696e-12   8.667187e-04  -6.561293e-05   0.000000e+00  -3.558288e-03 
  4.704638e+02  -7.969079e-14   8.684636e-04   3.106630e-05   0.000000e+00   8.073272e-03 
  4.546110e+02  -1.113821e-12   3.947832e-04   1.905768e-05   0.000000e+00  -4.141558e-03 
  4.517182e+02  -1.024425e-12   2.108497e-04   3.210220e-05   0.000000e+00   2.530636e-02 
  4.549195e+02  -1.936918e-13   4.095001e-04  -6.749935e-05   0.000000e+00   8.045316e-03 
  4.607915e+02   9.909388e-13   6.257195e-04  -5.695832e-05   0.000000e+00  -1.175111e-02 
  4.555193e+02  -1.113545e-12   4.366742e-04  -6.860183e-05   0.000000e+00   2.661429e-02 
  4.583677e+02  -2.646103e-15   5.472414e-04   7.825652e-05   0.000000e+00  -2.594470e-02 
  4.509632e+02  -3.790127e-14   1.235480e-04   3.383235e-05   0.000000e+00   2.025852e-02 
  4.845891e+02  -1.070321e-12   1.127537e-03   5.004517e-05   0.000000e+00  -3.239967e-02 
  4.822344e+02   4.641589e-13   1.089094e-03  -8.154613e-05   0.000000e+00   3.575752e-02 
  4.676414e+02  -3.786020e-13   8.056919e-04   4.720081e-05   0.000000e+00   1.865653e-02 
  4.645603e+02  -6.959116e-13   7.305621e-04   7.440367e-05   0.000000e+00  -2.234610e-02 
  4.866834e+02  -9.186185e-13   1.160518e-03  -6.030769e-05   0.000000e+00  -4.982465e-02 
  4.792263e+02  -1.094471e-12   1.037644e-03   6.973456e-05   0.000000e+00   6.843390e-03 
  4.677697e+02   5.158875e-13   8.086602e-04  -3.042646e-05   0.000000e+00   2.261045e-02 
  4.587849e+02  -3.264844e-14   5.615618e-04  -6.006580e-05   0.000000e+00  -1.387997e-02 
  4.601511e+02  -9.098934e-14   6.060134e-04   2.180965e-05   0.000000e+00  -2.471206e-02 
  4.564358e+02   3.164764e-13   4.751441e-04  -3.233366e-06   0.000000e+00  -2.245359e-02 
  4.862596e+02   5.717936e-14   1.153932e-03  -2.359989e-05   0.000000e+00   2.694963e-02 
  4.605563e+02  -7.355703e-14   6.185590e-04  -1.539518e-05   0.000000e+00  -2.954482e-02 
  4.679245e+02   9.089092e-13   8.122251e-04   9.172482e-05   0.000000e+00  -1.499542e-02 
  4.831829e+02   6.207499e-13   1.104761e-03   5.951887e-05   0.000000e+00  -1.941108e-02 
  4.748487e+02  -6.726922e-13   9.572387e-04   3.157359e-05   0.000000e+00  -2.026295e-02 
  4.557930e+02   3.890817e-13   4.485185e-04  -7.180004e-05   0.000000e+00   1.848453e-02 
  4.617967e+02  -1.801204e-13   6.554095e-04  -7.703436e-05   0.000000e+00   9.056929e-03 
  4.595642e+02   4.670293e-13   5.873444e-04  -7.495739e-05   0.000000e+00   1.365412e-02 
  4.626253e+02   4.604413e-13   6.788623e-04  -2.917811e-05   0.000000e+00  -2.103890e-02 
  4.729977e+02   5.560095e-13   9.209032e-04   9.826038e-06   0.000000e+00   1.936740e-02 
  4.859564e+02   1.085590e-13   1.149191e-03  -7.182463e-05   0.000000e+00  -3.234290e-02 
  4.574080e+02  -1.103196e-12   5.127341e-04  -1.159231e-05   0.000000e+00   2.502485e-03 
  4.552982e+02  -3.180988e-13   4.268660e-04   5.730153e-05   0.000000e+00  -3.504004e-02 
  4.644163e+02  -6.034336e-13   7.268487e-04   7.270663e-05   0.000000e+00   9.973891e-03 
  4.680298e+02   4.367773e-13   8.146410e-04  -8.301991e-05   0.000000e+00   2.566859e-02 
  4.568168e+02  -1.088867e-12   4.902299e-04  -9.192458e-07   0.000000e+00   8.521600e-03 
  4.519422e+02  -1.085291e-13   2.304467e-04  -5.097756e-05   0.000000e+00   4.435217e-02 
  4.701864e+02   2.071203e-13   8.625119e-04  -5.008823e-05   0.000000e+00  -2.114546e-03 
  4.554538e+02  -2.624771e-13   4.337934e-04   2.352286e-05   0.000000e+00   3.876219e-02 
  4.848498e+02  -7.518330e-13   1.131701e-03   4.250963e-05   0.000000e+00  -2.662140e-03 
  4.731173e+02  -3.181835e-13   9.232990e-04  -5.230364e-05   0.000000e+00   1.036772e-02 
  4.565855e+02  -8.256893e-13   4.811277e-04  -3.594291e-05   0.000000e+00   2.844774e-02 
  4.544590e+02   5.516735e-13   3.873191e-04  -4.819508e-05   0.000000e+00   2.022662e-03 
  4.677316e+02  -9.451596e-13   8.077812e-04  -7.035367e-05   0.000000e+00   2.844564e-03 
  4.764169e+02   6.638624e-13   9.868770e-04  -4.943330e-06   0.000000e+00   1.626879e-04 
  4.843537e+02  -3.994742e-13   1.123760e-03  -2.316289e-05   0.000000e+00  -1.980949e-02 
  4.518381e+02  -8.246971e-13   2.215532e-04   6.230944e-05   0.000000e+00   3.022046e-02 
  4.612528e+02  -2.792310e-13   6.395253e-04  -1.342121e-05   0.000000e+00   7.116505e-03 
  4.740622e+02  -4.783175e-13   9.419864e-04  -2.846065e-05   0.000000e+00   2.976826e-02 
  4.694224e+02   2.449016e-13   8.458869e-04  -3.994852e-05   0.000000e+00  -3.544197e-02 
  4.634471e+02   3.557472e-13   7.013113e-04  -1.828038e-05   0.000000e+00  -4.120547e-02 
  4.640298e+02   3.355997e-13   7.167790e-04  -3.263294e-05   0.000000e+00   4.688261e-02 
  4.739082e+02   9.214101e-13   9.389685e-04  -1.861384e-05   0.000000e+00  -1.182903e-02 
  4.633721e+02  -1.075572e-12   6.992950e-04  -6.212488e-05   0.000000e+00  -3.294905e-02 
  4.596840e+02  -1.122362e-12   5.912045e-04   3.417875e-06   0.000000e+00  -8.535473e-03 
  4.760609e+02   2.343312e-13   9.802357e-04  -1.234007e-05   0.000000e+00  -3.132503e-02 
  4.605383e+02  -1.066117e-12   6.180059e-04   5.513389e-05   0.000000e+00   1.535744e-02 
  4.803607e+02   6.257051e-13   1.057376e-03   4.916265e-05   0.000000e+00   3.752222e-03 
  4.680109e+02  -6.407671e-13   8.142083e-04   2.334330e-05   0.000000e+00   3.226289e-03 
  4.559008e+02   9.007154e-13   4.530969e-04   6.184740e-05   0.000000e+00  -2.275822e-02 
  4.797871e+02  -7.758244e-13   1.047450e-03  -3.468221e-06   0.000000e+00  -3.391355e-02 
  4.514553e+02  -5.432674e-13   1.851958e-04  -8.912731e-05   0.000000e+00  -1.644529e-03 
  4.547972e+02   9.497973e-13   4.037328e-04  -8.627101e-06   0.000000e+00   3.633865e-02 
  4.678205e+02  -1.040524e-12   8.098322e-04  -1.737896e-05   0.000000e+00  -1.271041e-02 
  4.589504e+02   7.188293e-13   5.671405e-04  -6.927921e-05   0.000000e+00  -1.610713e-02 
  4.835366e+02  -4.281704e-13   1.110540e-03   2.047042e-05   0.000000e+00  -2.264050e-02 
  4.824359e+02   9.002566e-13   1.092444e-03   1.971034e-05   0.000000e+00  -2.757090e-02 
  4.781022e+02   2.123102e-13   1.017667e-03  -6.476738e-05   0.000000e+00  -1.132839e-02 
  4.768979e+02   9.930430e-13   9.957729e-04  -1.239645e-05   0.000000e+00   1.472573e-02 
  4.744671e+02   8.784498e-13   9.498730e-04   2.669986e-05   0.000000e+00  -2.778865e-02 
  4.621368e+02  -6.502086e-13   6.651400e-04  -2.558442e-05   0.000000e+00   4.200495e-02 
  4.681912e+02   9.471731e-13   8.183283e-04   6.866532e-05   0.000000e+00   3.817897e-02 
  4.588081e+02   2.348404e-14   5.623484e-04  -3.151238e-05   0.000000e+00   1.201609e-02 
  4.867435e+02  -1.132926e-12   1.161450e-03  -1.511048e-05   0.000000e+00  -3.072612e-02 
  4.750389e+02   7.647168e-14   9.608880e-04   6.725037e-06   0.000000e+00   8.233468e-04 
  4.743553e+02   7.653184e-13   9.477021e-04   3.733399e-06   0.000000e+00  -4.556127e-02 
  4.742972e+02   8.171165e-13   9.465720e-04   2.833004e-05   0.000000e+00  -3.412618e-02 
  4.799175e+02  -3.104037e-13   1.049715e-03   1.410890e-05   0.000000e+00  -2.834061e-03 
  4.746378e+02   1.066981e-12   9.531760e-04  -1.657286e-06   0.000000e+00   4.184437e-02 
  4.819585e+02   8.481851e-13   1.084490e-03   5.803631e-05   0.000000e+00  -4.400776e-02 
  4.531358e+02   1.477289e-13   3.148540e-04  -7.280353e-05   0.000000e+00   2.935682e-03 
  4.730635e+02  -8.482816e-13   9.222213e-04  -6.481918e-05   0.000000e+00   3.759951e-02 
  4.561165e+02  -1.596935e-13   4.621133e-04  -1.692187e-06   0.000000e+00  -3.714617e-04 
